,Finnish infinitive,English inifinitive,Infinitive(eng),Infinitive(FI),examples,person,positive,negative,person_eng
47679,myllertää,do,do,myllertää,,,,,
47680,myllätä,english,english,myllätä,,,,,
47681,mylviä,bellow,bellow,mylviä,,,,,
47682,myrkyttyä,become poisoned,become poisoned,myrkyttyä,,,,,
47683,myrkyttää,poison,poison,myrkyttää,,,,,
47684,myrskytä,storm,storm,myrskytä,,,,,
47685,myrtyä,be embittered,be embittered,myrtyä,,,,,
47686,mystifioida,mystify,mystify,mystifioida,,,,,
47687,myydä loppuun,sell out,sell out,myydä loppuun,,,,,
47688,myydä,sell,sell,myydä,,,,,
47689,myyskennellä,english,english,myyskennellä,,,,,
47690,myödä,do,do,myödä,,,,,
47691,myöhentää,delay,delay,myöhentää,,,,,
47692,myöhästellä,be late,be late,myöhästellä,,,,,
47693,myöhästyä,be late,be late,myöhästyä,,,,,
47694,myöntyä,consent,consent,myöntyä,,,,,
47695,myöntää,concede,concede,myöntää,,,,,
47696,myöstää,anneal,anneal,myöstää,,,,,
47697,myötäillä,conform,conform,myötäillä,,,,,
47698,mädäntyä,rot,rot,mädäntyä,,,,,
47699,mädättää,rot,rot,mädättää,,,,,
47700,mädätä,rot,rot,mädätä,,,,,
47701,mäikyä,reverberate,reverberate,mäikyä,,,,,
47702,mäiskyä,splash against,splash against,mäiskyä,,,,,
47703,mäkättää,bleat,bleat,mäkättää,,,,,
47704,märehtiä,chew the cud,chew the cud,märehtiä,,,,,
47705,märkiä,suppurate,suppurate,märkiä,,,,,
47706,mässäillä,gourmandize,gourmandize,mässäillä,,,,,
47707,mässätä,stuff,stuff,mässätä,,,,,
47708,mätiä,putrefy,putrefy,mätiä,,,,,
47709,mätkiä,whack,whack,mätkiä,,,,,
47710,mätkähtää,thud,thud,mätkähtää,,,,,
47711,mätkäistä,slap,slap,mätkäistä,,,,,
47712,mättää,shovel,shovel,mättää,,,,,
47713,mätästää,english,english,mätästää,,,,,
47714,määkiä,bleat,bleat,määkiä,,,,,
47715,määkyä,bleat,bleat,määkyä,,,,,
47716,määkäistä,utter a bleat,utter a bleat,määkäistä,,,,,
47717,määritellä,define,define,määritellä,,,,,
47718,määrittää,specify,specify,määrittää,,,,,
47719,määräillä,boss around,boss around,määräillä,,,,,
47720,määrätä,specify,specify,määrätä,,,,,
47721,määräytyä,be determined by,be determined by,määräytyä,,,,,
47722,möhliä,mess up,mess up,möhliä,,,,,
47723,möhlätä,mess up,mess up,möhlätä,,,,,
47724,mökeltää,do,do,mökeltää,,,,,
